"Scaffold" "Position" "fresh_pbe" "mae_pbe" "vie_pbe" "fresh_mae_fst" "fresh_vie_fst" "mae_vie_fst" "mae_bre_fst" "mae_mie_fst" "vie_bre_fst" "vie_mie_fst"
1 86500 0 0 0 0 0 0 1 0 0 0
1 261500 0 0 0 0 0 0 1 0 0 0
1 262500 0 0 0 0 0 0 1 0 0 0
1 263500 0 0 0 0 0 0 1 0 0 0
1 264500 0 0 0 0 0 0 1 0 0 0
1 265500 0 0 0 0 0 0 1 0 0 0
1 286500 0 0 0 0 0 0 0 1 0 0
1 483500 0 0 0 0 0 0 1 0 0 0
1 484500 0 0 0 0 0 0 1 0 0 0
1 485500 0 0 0 0 0 0 1 0 0 0
1 486500 0 0 0 0 0 0 1 0 0 0
1 487500 0 0 0 0 0 0 1 0 0 0
1 488500 0 0 0 0 0 0 0 1 0 0
1 526500 0 0 0 0 0 0 1 0 0 0
1 579500 0 0 0 1 0 0 1 1 0 0
1 714500 0 0 0 0 0 0 1 0 0 0
1 984500 0 0 0 0 0 0 0 1 0 0
1 1019500 0 0 0 0 0 0 1 0 0 0
1 1020500 0 0 0 0 0 0 1 0 0 0
1 1021500 0 0 0 0 0 0 1 0 0 0
1 1022500 0 0 0 0 0 0 1 0 0 0
1 1023500 0 0 0 0 0 0 1 0 0 0
1 1075500 0 0 0 0 0 0 1 0 0 0
1 1082500 0 0 0 1 0 0 1 1 0 0
1 1083500 0 0 0 0 0 0 0 1 0 0
1 1084500 0 0 0 0 0 0 0 1 0 0
1 1108500 0 0 0 0 0 0 0 1 0 0
1 1109500 0 0 0 0 0 0 0 1 0 0
1 1110500 0 0 0 0 0 0 0 1 0 0
1 1111500 0 0 0 0 0 0 0 1 0 0
1 1112500 0 0 0 0 0 0 0 1 0 0
1 1266500 0 0 0 1 0 0 1 1 0 0
1 1267500 0 0 0 1 0 0 1 1 0 0
1 1282500 0 0 0 0 0 0 0 1 0 0
1 1345500 0 0 1 0 0 1 0 0 0 0
1 1346500 0 0 1 0 0 1 0 0 0 0
1 1347500 0 0 1 0 1 1 0 0 1 1
1 1348500 0 0 1 0 1 1 0 0 1 1
1 1349500 0 0 1 0 1 1 0 0 1 1
1 1352500 0 1 0 0 0 0 0 0 0 0
1 1506500 0 0 0 0 0 0 1 0 0 0
1 1507500 0 0 0 1 0 0 1 1 0 0
1 1899500 0 0 0 0 0 0 0 1 0 0
1 1900500 0 0 0 0 0 0 0 1 0 0
1 1901500 0 0 0 0 0 0 0 1 0 0
1 1944500 0 0 0 0 0 0 0 1 0 0
1 1945500 0 0 0 0 0 0 0 1 0 0
1 1946500 0 0 0 0 0 0 0 1 0 0
1 2203500 0 0 0 0 0 0 1 0 0 0
1 2590500 0 0 0 0 0 0 1 0 0 0
1 2591500 0 0 0 0 0 0 1 0 0 0
1 2592500 0 0 0 0 0 0 1 0 0 0
1 2651500 0 0 0 0 0 0 1 0 0 0
1 2652500 0 0 0 0 0 0 1 0 0 0
1 2653500 0 0 0 0 0 0 1 0 0 0
1 2660500 0 0 0 0 0 0 0 1 0 0
1 2661500 0 0 0 0 0 0 0 1 0 0
1 2833500 0 0 0 0 0 0 1 0 0 0
1 3119500 0 0 0 0 0 0 1 0 0 0
1 3894500 0 0 0 0 0 0 1 0 0 0
1 3895500 0 0 0 0 0 0 1 0 0 0
1 3938500 0 0 0 0 0 0 0 1 0 0
1 3939500 0 0 0 0 0 0 0 1 0 0
1 3940500 0 0 0 0 0 0 0 1 0 0
1 3941500 0 0 0 0 0 0 0 1 0 0
1 4252500 0 0 0 0 0 0 1 0 0 0
